,respid,hidsq01a,sq01,sq05b,hidsq03,sq08ax1_1,hq04a,sq04,sq10_1,sq10_2,sq10_3,sq10_4,sq10_5,sq10_6,sq10_7,sq10_8,sq10_9,sq10_10,sq10_11,sq10_12,sq10_13,sq10_14,sq10_15,sq10_16,sq10_17,sq10_18,sq10_19,sq10_20,sq10_21,sq10_22,sq10_66,sq10_23,sq10_24,sq10_25,sq10_26,sq10_27,sq10_28,sq10_29,sq10_30,sq10_31,sq10_32,sq10_33,sq10_34,sq10_35,sq10_36,sq10_37,sq10_38,sq10_39,sq10_40,sq10_41,sq10_42,sq10_43,sq10_44,sq10_45,sq10_46,sq10_47,sq10_48,sq10_49,sq10_50,sq10_51,sq10_52,sq10_53,sq10_54,sq10_55,sq10_56,sq10_57,sq10_58,sq10_59,sq10_60,sq10_61,sq10_62,sq10_63,sq10_64,sq10_65,K6b,sq08x1_1,sq08x1_2
241,1638.0,2.0,2.0,5.0,4.0,28.0,1.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,12.0,24.0
242,1640.0,3.0,2.0,6.0,4.0,30.0,5.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,4.0,4.0,1.0,6.0,10.0,20.0
243,1641.0,3.0,1.0,4.0,4.0,58.0,3.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,5.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0,3.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0,5.0,1.0,3.0,3.0,1.0,3.0,1.0,24.0,48.0
244,1645.0,2.0,1.0,2.0,2.0,18.0,4.0,1.0,5.0,5.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,5.0,3.0,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0,6.0,10.0,8.0
245,1647.0,3.0,1.0,5.0,4.0,32.0,3.0,2.0,1.0,5.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,14.0,20.0
246,1649.0,2.0,2.0,7.0,4.0,61.0,2.0,1.0,5.0,5.0,5.0,4.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,5.0,,1.0,4.0,4.0,1.0,1.0,5.0,4.0,1.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,1.0,1.0,4.0,1.0,3.0,5.0,4.0,4.0,1.0,4.0,15.0,35.0
247,1651.0,3.0,1.0,7.0,4.0,25.0,4.0,1.0,3.0,5.0,1.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0,5.0,4.0,3.0,1.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0,4.0,5.0,1.0,3.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,1.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,4.0,5.0,8.0
248,1652.0,1.0,2.0,1.0,3.0,23.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,4.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,3.0,13.0,10.0
249,1655.0,3.0,1.0,2.0,4.0,28.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,5.0,3.0,5.0,,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,5.0,1.0,1.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,4.0,1.0,2.0,4.0,20.0,8.0
250,1658.0,2.0,1.0,1.0,3.0,35.0,3.0,2.0,2.0,3.0,5.0,1.0,1.0,4.0,4.0,2.0,3.0,5.0,3.0,4.0,4.0,1.0,5.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,3.0,5.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,5.0,4.0,1.0,1.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,3.0,5.0,1.0,3.0,6.0,15.0,20.0
251,1661.0,1.0,2.0,6.0,3.0,12.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0,,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,1.0,3.0,10.0,6.0
252,1670.0,3.0,2.0,2.0,3.0,30.0,2.0,2.0,4.0,4.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0,4.0,4.0,4.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,1.0,5.0,4.0,,4.0,1.0,4.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,5.0,4.0,1.0,5.0,3.0,5.0,4.0,3.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,20.0,10.0
253,1672.0,3.0,2.0,1.0,3.0,60.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,4.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,4.0,1.0,5.0,18.0,16.0
254,1674.0,3.0,2.0,5.0,4.0,72.0,4.0,2.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,1.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,10.0,22.0
255,1682.0,3.0,1.0,1.0,2.0,30.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,24.0,12.0
256,1683.0,3.0,2.0,4.0,2.0,30.0,3.0,1.0,3.0,5.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,2.0,5.0,2.0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,3.0,6.0,24.0,15.0
257,1685.0,2.0,1.0,7.0,4.0,39.0,5.0,1.0,1.0,5.0,4.0,4.0,1.0,4.0,1.0,1.0,4.0,5.0,4.0,1.0,1.0,5.0,4.0,1.0,4.0,1.0,5.0,5.0,1.0,4.0,,4.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,5.0,7.0
258,1690.0,1.0,1.0,1.0,4.0,35.0,2.0,2.0,5.0,4.0,1.0,4.0,5.0,5.0,1.0,1.0,4.0,4.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,1.0,1.0,5.0,4.0,1.0,1.0,4.0,1.0,1.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,1.0,1.0,5.0,4.0,1.0,1.0,3.0,20.0,35.0
259,1694.0,3.0,2.0,4.0,4.0,22.0,4.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0,5.0,4.0,1.0,1.0,1.0,5.0,4.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,5.0,20.0,10.0
260,1698.0,3.0,2.0,2.0,4.0,45.0,2.0,2.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,3.0,,3.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,1.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,1.0,1.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,7.0,6.0
261,1713.0,3.0,1.0,4.0,4.0,16.0,2.0,2.0,3.0,4.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,5.0,1.0,3.0,4.0,1.0,5.0,4.0,4.0,5.0,5.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,5.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,10.0,6.0
262,1714.0,3.0,1.0,5.0,3.0,44.0,5.0,1.0,1.0,5.0,5.0,3.0,1.0,5.0,1.0,5.0,4.0,5.0,4.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,5.0,11.0
263,1716.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,15.0,10.0
264,1722.0,3.0,1.0,6.0,4.0,15.0,3.0,1.0,3.0,3.0,5.0,4.0,3.0,5.0,1.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,1.0,4.0,5.0,5.0,4.0,4.0,,4.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,4.0,4.0,1.0,4.0,3.0,5.0,1.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,1.0,1.0,4.0,4.0,1.0,3.0,4.0,1.0,3.0,3.0,3.0,1.0,4.0,10.0,5.0
265,1723.0,3.0,2.0,4.0,2.0,24.0,5.0,2.0,2.0,5.0,1.0,5.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,4.0,5.0,1.0,1.0,1.0,3.0,,1.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,3.0,3.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,1.0,4.0,3.0,3.0,16.0,8.0
266,1725.0,3.0,2.0,4.0,4.0,30.0,2.0,2.0,3.0,5.0,1.0,1.0,5.0,3.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,15.0,10.0
267,1729.0,2.0,1.0,7.0,4.0,50.0,2.0,2.0,1.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,5.0,3.0,2.0,3.0,1.0,5.0,5.0,3.0,3.0,5.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,6.0,8.0,10.0
268,1734.0,1.0,2.0,3.0,2.0,100.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,5.0,,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,5.0,15.0,30.0
269,1739.0,1.0,2.0,2.0,3.0,18.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,8.0,13.0
270,1744.0,3.0,2.0,5.0,3.0,27.0,3.0,2.0,3.0,5.0,3.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,5.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,20.0,7.0
271,1745.0,2.0,2.0,6.0,3.0,20.0,4.0,2.0,4.0,5.0,1.0,1.0,1.0,4.0,1.0,3.0,4.0,1.0,5.0,1.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,5.0,,1.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,5.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,4.0,4.0,3.0,1.0,10.0,10.0
272,1751.0,3.0,2.0,7.0,2.0,60.0,4.0,1.0,3.0,3.0,1.0,4.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,,1.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,5.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,6.0,24.0,24.0
273,1752.0,1.0,2.0,6.0,3.0,6.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,1.0,2.0,5.0,6.0
274,1754.0,1.0,2.0,4.0,3.0,20.0,1.0,2.0,1.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,5.0,3.0,2.0,5.0,4.0,3.0,2.0,4.0,1.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,1.0,3.0,1.0,4.0,4.0,5.0,3.0,1.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,6.0,8.0,6.0
275,1762.0,1.0,2.0,8.0,3.0,22.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,5.0,4.0,1.0,5.0,12.0,10.0
276,1771.0,3.0,2.0,6.0,3.0,16.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,,1.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,4.0,15.0,15.0
277,1777.0,3.0,2.0,1.0,3.0,35.0,1.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0
278,1779.0,3.0,2.0,1.0,3.0,70.0,1.0,2.0,4.0,3.0,3.0,5.0,3.0,4.0,1.0,5.0,4.0,1.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,5.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0,4.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,4.0,5.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,1.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,1.0,4.0,1.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,5.0,1.0,24.0,24.0
279,1786.0,1.0,2.0,2.0,2.0,17.0,3.0,1.0,4.0,1.0,5.0,1.0,3.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,4.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,5.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,10.0,7.0
280,1917.0,1.0,1.0,2.0,2.0,16.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,10.0
281,1931.0,1.0,2.0,1.0,2.0,50.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,7.0,14.0
282,1933.0,3.0,1.0,4.0,4.0,18.0,2.0,1.0,5.0,3.0,1.0,3.0,5.0,5.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,5.0,2.0,5.0,1.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,5.0,4.0,1.0,2.0,4.0,3.0,1.0,2.0,13.0,10.0
283,1949.0,2.0,2.0,1.0,4.0,30.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,4.0,10.0
